MsCode,HECCode,Estimate,RSE,Flag
M003,Total Gross,2441552500,,R
M003,Total Net,2370610600,,R
M003,01,410549200,,R
M003,01.1,41365600,,R
M003,01.1.01,16868800,,R
M003,01.1.01.1,2116800,,R
M003,01.1.01.1.0,2116800,,R
M003,01.1.01.1.0.01,662000,,R
M003,01.1.01.1.0.02,275800,,R
M003,01.1.01.1.0.03,1083300,,R
M003,01.1.01.1.0.04,18900,,L
M003,01.1.01.1.0.05,31500,,L
M003,01.1.01.1.0.06,44800,,L
M003,01.1.01.1.0.99,,,S
M003,01.1.01.2,2795500,,R
M003,01.1.01.2.0,2795500,,R
M003,01.1.01.2.0.01,2795500,,R
M003,01.1.01.3,2468300,,R
M003,01.1.01.3.0,2468300,,R
M003,01.1.01.3.0.01,1889600,,R
M003,01.1.01.3.0.02,526600,,R
M003,01.1.01.3.0.03,52100,,M
M003,01.1.01.4,1965400,,R
M003,01.1.01.4.0,1965400,,R
M003,01.1.01.4.0.01,183300,,M
M003,01.1.01.4.0.02,187800,,M
M003,01.1.01.4.0.03,198200,,M
M003,01.1.01.4.0.04,794000,,R
M003,01.1.01.4.0.05,253800,,L
M003,01.1.01.4.0.06,348300,,R
M003,01.1.01.5,2809600,,R
M003,01.1.01.5.0,2809600,,R
M003,01.1.01.5.0.01,16100,,L
M003,01.1.01.5.0.02,175200,,M
M003,01.1.01.5.0.03,598400,,M
M003,01.1.01.5.0.05,651100,,R
M003,01.1.01.5.0.06,1067100,,R
M003,01.1.01.5.0.07,301700,,M
M003,01.1.01.6,1793800,,R
M003,01.1.01.6.0,1793800,,R
M003,01.1.01.6.0.00,397600,,L
M003,01.1.01.6.0.01,14300,,L
M003,01.1.01.6.0.03,73300,,M
M003,01.1.01.6.0.05,163100,,M
M003,01.1.01.6.0.06,25000,,L
M003,01.1.01.6.0.07,18200,,L
M003,01.1.01.6.0.08,81100,,L
M003,01.1.01.6.0.09,204700,,M
M003,01.1.01.6.0.10,,,S
M003,01.1.01.6.0.11,40900,,L
