Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G01Z90,2009.06,3374,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2010.06,-2971,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2011.06,-13093,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2012.06,-3352,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2013.06,-467,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2014.06,1721,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2015.06,4268,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2016.06,6086,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2017.06,8083,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2018.06,9214,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2019.06,10874,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z91,2009.06,-467,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2010.06,-6601,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2011.06,-15161,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2012.06,-5584,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2013.06,-3928,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2014.06,-1984,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2015.06,-132,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2016.06,1719,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2017.06,3723,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2018.06,3621,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2019.06,4884,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G02121,2009.06,2278,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2010.06,2523,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
