Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G01Z90,2009.06,715,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2010.06,907,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2011.06,350,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2012.06,515,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2013.06,1037,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2014.06,947,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2015.06,1054,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2016.06,1158,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2017.06,1144,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2018.06,1601,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2019.06,1668,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z91,2009.06,-1092,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2010.06,-924,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2011.06,-798,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2012.06,-513,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2013.06,-1192,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2014.06,-710,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2015.06,-759,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2016.06,-414,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2017.06,-516,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2018.06,-322,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2019.06,-135,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G02121,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
