hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,nzhec1,nzhec1_name,nzhec1_short,weight,exp_pw,eqv_exp_pw
All households,2008,allhh,1,Food,Food,group,1,Food,Food,18,146.3,86.7
All households,2008,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.6,21.3,12.6
All households,2008,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.1,25.6,15.2
All households,2008,allhh,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,7.4,59.9,35.5
All households,2008,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.7,14,8.3
All households,2008,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,3.1,25.5,15.1
All households,2008,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6,48.5,28.8
All households,2008,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,3.7,30.4,18
All households,2008,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.2,18.1,10.7
All households,2008,allhh,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,3.4,27.8,16.5
All households,2008,allhh,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2.7,21.6,12.8
All households,2008,allhh,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.8,6.2,3.7
All households,2008,allhh,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,19.9,161.6,95.8
All households,2008,allhh,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,9.4,76.6,45.4
All households,2008,allhh,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.8,14.3,8.5
All households,2008,allhh,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,3.5,28.7,17
All households,2008,allhh,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,5.2,42,24.9
All households,2008,allhh,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4.7,37.8,22.4
All households,2008,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.5,12.2,7.2
All households,2008,allhh,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.4,3.1,1.9
All households,2008,allhh,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.2,9.8,5.8
All households,2008,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,1.8,1
All households,2008,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.5,3.9,2.3
All households,2008,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.9,7.1,4.2
All households,2008,allhh,6,Health,Health,group,6,Health,Health,4.1,33,19.6
All households,2008,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1,8.2,4.8
All households,2008,allhh,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.7,22.1,13.1
All households,2008,allhh,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.3,2.8,1.6
All households,2008,allhh,7,Transport,Transport,group,7,Transport,Transport,13.6,110.6,65.6
All households,2008,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,2.1,17.2,10.2
All households,2008,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,9,73.3,43.5
All households,2008,allhh,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,2.5,20.1,11.9
All households,2008,allhh,8,Communication,Communication,group,8,Communication,Communication,3.5,28.5,16.9
All households,2008,allhh,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,1.3,0.8
All households,2008,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,1.4,0.8
All households,2008,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.2,25.8,15.3
All households,2008,allhh,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,8.4,67.9,40.2
All households,2008,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.5,12.2,7.2
All households,2008,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.2,1.8,1.1
All households,2008,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.9,15.5,9.2
All households,2008,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,2.3,18.3,10.9
All households,2008,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.3,10.8,6.4
All households,2008,allhh,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.5,3.8,2.3
All households,2008,allhh,10,Education,Education,group,10,Education,Education,1.2,9.5,5.6
All households,2008,allhh,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.2,1.4,0.8
All households,2008,allhh,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.4,3.4,2
All households,2008,allhh,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.6,4.5,2.7
All households,2008,allhh,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0.2,0.1
All households,2008,allhh,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,9.7,78.8,46.7
